51953,All Through the Night,Cyndi Lauper,Unkown Album
51538,Girls Just Want to Have Fun,Cyndi Lauper,Unkown Album
51983,Money Changes Everything,Cyndi Lauper,Unkown Album
50124,Time After Time,Cyndi Lauper,Unkown Album
51336,True Colors,Cyndi Lauper,Unkown Album
52313,Laffy Taffy,D4L,Unkown Album
51603,New Rose,"Damned, The",Unkown Album
50345,Leader of the Band,Dan Fogelberg,Unkown Album
50343,Longer,Dan Fogelberg,Unkown Album
50344,Same Old Lang Syne,Dan Fogelberg,Unkown Album
51061,I Can Dream About You,Dan Hartman,Unkown Album
51735,Sometimes When We Touch,Dan Hill,Unkown Album
51448,Bohemian Like You,"Dandy Warhols, The",Unkown Album
52116,I Believe in a Thing Called Love,"Darkness, The",Unkown Album
51250,Because,Dave Clark Five,Unkown Album
51437,Do You Love Me,Dave Clark Five,Unkown Album
51438,Glad All Over,Dave Clark Five,Unkown Album
51150,Six Days on the Road,Dave Dudley,Unkown Album
50373,Please Come to Boston,Dave Loggins,Unkown Album
50339,We Just Disagree,Dave Mason,Unkown Album
51971,An Occasional Dream,David Bowie,Unkown Album
51959,Ashes to Ashes,David Bowie,Unkown Album
50128,Blue Jean,David Bowie,Unkown Album
51760,Boys Keep Swinging,David Bowie,Unkown Album
51405,Changes,David Bowie,Unkown Album
51236,China Girl,David Bowie,Unkown Album
51509,"Everyone Says ""Hi""",David Bowie,Unkown Album
50129,Fame,David Bowie,Unkown Album
51960,Fashion,David Bowie,Unkown Album
52272,Five Years,David Bowie,Unkown Album
51961,God Knows I'm Good,David Bowie,Unkown Album
51962,Hang On to Yourself,David Bowie,Unkown Album
51963,Helden,David Bowie,Unkown Album
51964,Heroes,David Bowie,Unkown Album
52399,I'm Afraid of Americans,David Bowie,Unkown Album
51966,"John, I'm Only Dancing",David Bowie,Unkown Album
51549,Lady Grinning Soul,David Bowie,Unkown Album
52245,Lady Stardust,David Bowie,Unkown Album
50130,Let's Dance,David Bowie,Unkown Album
51967,Letter to Hermione,David Bowie,Unkown Album
51968,Life on Mars,David Bowie,Unkown Album
51984,Magic Dance  [Labyrinth soundtrack],David Bowie,Unkown Album
50131,Modern Love,David Bowie,Unkown Album
51970,Moonage Daydream,David Bowie,Unkown Album
51972,Oh! You Pretty Things,David Bowie,Unkown Album
51973,Panic in Detroit,David Bowie,Unkown Album
51377,Queen Bitch,David Bowie,Unkown Album
50060,Rebel Rebel,David Bowie,Unkown Album
52273,Rock 'n' Roll Suicide,David Bowie,Unkown Album
51564,Scary Monsters (And Super Creeps),David Bowie,Unkown Album
52311,Slow Burn,David Bowie,Unkown Album
51974,Sorrow,David Bowie,Unkown Album
52361,Soul Love,David Bowie,Unkown Album
